,id,suggestion,author,date_created,last_upvoted,comments,status,votes,Description
94,173521,Questionnaire,Jared,"25 Mar, 2021",09 Aug,0,Not planned,14,"Everyone can answer the questions they're comfortable with and then you can check a match's answers to the questions that you've answered yourself. In order to see the answers to questions that you haven't taken, you have to answer the corresponding question (to prevent ppl from saying what a match wants to hear). To prevent addictive behavior and to reward consistent app use, there could be a limit to the number of questions that can be answered per day (e.g. 10 questions). Maybe this wouldn't apply to answering questions a match had answered (while looking at a match). Premium users could then see a match % based on the questions and interest tags"
95,186181,Optional profile feedback,Jeremy,"18 May, 2021",09 Aug,5,Under consideration,13,"Instead of swiping down, the user could have the option to provide constructive feedback on a profile by choosing from a list of common profile mistakes or sending an anonymous message.  Examples:Too many people in photosUnflattering photosInappropriate photosGeneric descriptionSpelling and grammarBio is negative, disrespectful, immature, boring, too brief, inappropriateToo few or too many interests User could select all that apply. Receiving feedback could be opt-in only. Feedback could also be in the form of an anonymous message but would probably be abused. Inappropriate messages could be reported."
96,200637,Give stats on your profile percentageswhats successful,Todd,"29 Jul, 2021",09 Aug,2,Under consideration,13,1. How much time people spend on your profile2. Which picture they swipe up on (how many they look through)/or a percentage of how many people get how far into your pictures3. How many read your profile4. How many view it vs swipe on it5. How many use the second look option
97,201410,Rollover notes,Barry,"03 Aug, 2021",09 Aug,1,Under consideration,13,"It's the same concept as rollover minutes, but for notes!  So, let's say I have 1 note on day 1, but I do not use it.  On day 2 I will have 2 notes to use!  If I don't use either of those notes on day 2, I will end up with 3 notes on day 3, and so on!"
98,198341,Filter gym activity,Shelby,"17 Jul, 2021",09 Aug,1,Under consideration,13,"Have an option to display and filter level of days/hours at gym every week.Options could be something like this: Days per week: 1, 2, 3... etcHours per week: 1, 2, 3... etc"
99,173095,Multiple search locations,Frank the Dog from Men In Black 2,"23 Mar, 2021",14 Jul,1,Under consideration,13,"Setting multiple search locations, maybe up to five or so, instead of setting a distance meter."
100,307193,Lower subscription price,Bay,11 Jun,28 Jul,0,Not planned,13,Self explanatory ^ This app is mostly made up of high school/college students.  This app is way too expensive.
101,193363,Reasons for swiping,Holly,"23 Jun, 2021",28 Jul,0,Under consideration,13,"When you match or don't match with someone, have a selection option for why you swiped the way you did. Then mutual could maybe filter so similar people show up more often. These could also just let mutual know what things we swipe based on. Even if it's every few swipes instead of every one..."
102,176239,Pause profile,Amanda,"04 Apr, 2021",09 Aug,0,Done,13,It would be cool if we could pause our accounts for a while if we don't want to deactivate it but we also aren't wanting to show up on other people's profiles or anything.
103,175898,Option for more detailed profile info,Trent,"02 Apr, 2021",09 Aug,0,Under consideration,13,"Allow users to create a 'bonus' profile with more personal information about what they want in life, what they're into, what they care abt in a partner etc that they can grant access to after matching or after going out w another user and having a good time.  Profiles (and first dates) tend to be intentionally light hearted and nobody wants to ask 'how many kids do you want to have' or 'are you/have you been a pornography user' or 'what sort of income/spending level do you expect to have' or 'what is something that you find attractive/unattractive in a partner' or 'if your spouse left the church do you think you'd be more likely to break up, or to leave the church yourself' etc etc.  Basically it would be like a 'level 2' profile that you share selectively w someone once you've built some trust or connection. Nobody wants to go into date one or two throwing those topics on the table at a restaurant but many people are interested in them for compatibility."
104,196148,Filter unwanted names,Anne Lester,"06 Jul, 2021",12 Jul,6,Not planned,12,Add a filter to block certain names. Nobody wants to date their dad.
105,176295,Metric vs imperial on height,Anonymous,"04 Apr, 2021",07 Jul,3,Planned,12,"Please change Canada to feet and inches. Sure we use centimetres here in the great white North, but not when regarding height. This is honestly the worst. Please change this."
106,202557,Message preview in notification,Sterling,"10 Aug, 2021",09 Aug,2,Under consideration,12,"I want the notification on my phone to have the message they sent displayed, just like every other messages app I've ever used. I am fairly confident this will significantly reduce people unintentionally ghosting each other and generally help response times. This is the norm for messaging across the boards on smartphones, and would be very useful here. Every app also has a setting to disable it, which y'all could also throw in there pretty easily"
107,186677,Date ideas,Nathaniel Sparks,"20 May, 2021",09 Aug,2,Under consideration,12,Have a list of common date ideas and select ones you like. When you match with someone you can see common date ideas you like
108,211694,Reset all downswipes from people who like you,Tyler Alley,"05 Sep, 2021",01 Aug,1,Under consideration,12,In addition to the current feature of reset the oldest 100. The reset all swipes could be a 3rd reset option
109,225427,Clarify interested in,N.,"18 Oct, 2021",09 Aug,0,Under consideration,12,"Instead of ""up for dancing"" or similar, create 4 horizontal categories: 1. Seeking friends, 2. Casual dates, 3. Serious dates, 4. Ready for a relationship/marriage. Within those categories, add a vertical slider to choose your sub-group, to have more fun language. The current ice cream, dancing, and looking for fun tags are somewhat nebulous"
110,173511,No gun photos,Lj,"24 Mar, 2021",03 Aug,17,Under consideration,11,Ban gun pictures
111,189884,Verified profiles filter for them,Jeramy,"08 Jun, 2021",09 Aug,6,Under consideration,11,"I'm tired of getting fake profiles matching who have little to no bio, rarely any info that checks out, and upon further inspection after matching the 3 photos they uploaded are of three separate women that were ripped off Insta or random online searches. Verified Profiles and a way to search only those verified would be wonderful!"
112,266157,The new about me section is too short,Liz,"27 Dec, 2021",01 Aug,4,Under consideration,11,"The old section was much better. I really felt like I could learn a bit about a person. This is way too short now! Other sites like Hinge and Bumble include a lot more info in your stats section (kids status, politics etc) so they don't need as much room in the About Me section but this is ridiculously short!!"
113,189906,Make the distance slider better,Ryan,"08 Jun, 2021",23 Jul,3,Under consideration,11,The distance slider should be exponential. The most useful range is 0-40 miles anyway so instead of that being 4mm long on the slider it should take up half of the slider.
114,200613,No dead animals,Kelsi,"28 Jul, 2021",03 Aug,2,Under consideration,11,"I'm so sick of seeing dead deer, elk, fish, etc. on guys' profiles. There are other photos someone can upload to indicate they enjoy hunting and/or fishing, but nobody needs to see the actual dead animal."
115,188116,Get rid of say hi,J,"31 May, 2021",08 Jul,1,Under consideration,11,"In addition to the suggestion for conversation prompts... it would be amazing to replace the 'say hi' prompt that comes up after a match, because that is quite often the ONLY thing that people say... and I had to stop getting mad when I realized that people are just doing what the app told them to do :P"
116,187180,Purge users,Bparks,"25 May, 2021",09 Aug,0,Done,11,"I get the feeling that a lot of the people on the app are married or don't use it. In other words, it feels like the swiping is bloated based off of false profiles. Maybe consider purging users who have been inactive for a couple of years."
117,164959,Tagging the other people in the photo,Alex,"02 Mar, 2021",09 Aug,0,Not planned,11,Sometimes I wanna know who the other cutie is... so if they like tagged their profile or insta that would be great
