,id,suggestion,author,date_created,last_upvoted,comments,status,votes
185,333056,Edit a message that has been sent,Richard Bernal,27 Sep,27 Sep,0,Feedback Needed,1
186,332306,Add how many kids,Stacie Tillotson,24 Sep,24 Sep,0,Feedback Needed,1
187,328515,Delete messages,LÃ­a,11 Sep,11 Sep,0,Feedback Needed,1
188,168489,Let queer members match with other queer members,Rachel,"10 Mar, 2021",31 Oct,132,Open,1.1000
189,165279,Birthday surprise,Jefferson Glenn,"02 Mar, 2021",29 Oct,10,Open,288
190,161959,Filter has children or not,Moses,"22 Feb, 2021",13 Oct,29,Released,256
191,161947,Filter interest level,Moses,"22 Feb, 2021",19 Oct,39,Released,243
192,157427,Video chat,Moses,"03 Feb, 2021",yesterday,24,Released,190
193,175881,Free trial,Erica,"01 Apr, 2021",yesterday,26,Closed,156
194,164933,Filter temple recommend,Moses,"01 Mar, 2021",29 Oct,16,Released,145
195,161963,Filter politics,Moses,"22 Feb, 2021",19 Oct,25,Closed,143
196,164926,Share a profile,Moses,"01 Mar, 2021",19 Oct,21,Released,134
197,161966,Filter divorced,Moses,"22 Feb, 2021",01 Nov,27,Released,120
198,172738,Show likelyhood to respond,Josh,"23 Mar, 2021",13 Oct,12,Closed,88
199,169296,Filter weight,Pedro,"14 Mar, 2021",14 Oct,32,Closed,86
200,172181,Filter those that like you,Collin,"21 Mar, 2021",19 Oct,7,Closed,84
201,176175,Dealbreakers,Damian,"03 Apr, 2021",14 Oct,10,Closed,82
202,170905,Penalize ignoring a message from a match,Daniel,"18 Mar, 2021",25 Oct,26,Closed,79
203,164998,Filter ethnicity,B,"02 Mar, 2021",17 Oct,23,Closed,76
204,171625,An are you dating someone thing,Mathieu Brewer,"20 Mar, 2021",14 Oct,5,Closed,72
205,179921,Notes should be one per day anytime i want to use it not once every 24 hrs exact,Eliot,"18 Apr, 2021",10 Oct,4,Open,67
206,170894,Filter specific tag,Sanford Bassett,"18 Mar, 2021",17 Oct,61,Open,60
207,176262,Add additional location filter by state,Ryan,"04 Apr, 2021",02 Oct,8,Open,51
208,184861,List view of people whove liked you,Anonymous,"12 May, 2021",24 Sep,8,Closed,50
209,197289,Ghosting ratio,Sunny,"10 Jul, 2021",13 Oct,6,Open,49
210,170233,Group date feature,Jaden,"16 Mar, 2021",12 Sep,8,Open,48
211,172119,A notification sound,Bradley,"21 Mar, 2021",12 Sep,3,Open,48
212,253422,Description first optionally,Jackson,"03 Dec, 2021",13 Oct,3,Open,45
213,161964,Filter pets,Moses,"22 Feb, 2021",13 Oct,2,Closed,45
214,180047,Not for me instead of no reason,Kay,"19 Apr, 2021",19 Oct,1,Open,42
215,174225,Time stamps,emma,"27 Mar, 2021",yesterday,3,Open,41
216,184344,Picture upload zoom issue,Daniel,"09 May, 2021",22 Oct,6,Open,40
217,203487,When ward hopping have option to display both real and hopped location,Matt Eden,"17 Aug, 2021",01 Sep,4,Open,38
218,165040,Add spotify top artists,Moses,"02 Mar, 2021",13 Oct,8,Open,37
219,176263,Reset all down swipes option,Ryan,"04 Apr, 2021",14 Oct,3,Closed,36
220,190177,See who liked me list view,Michael Patterson,"09 Jun, 2021",20 Sep,8,Open,35
221,198340,Filter body type,Stephanie,"17 Jul, 2021",13 Oct,9,Open,33
222,181754,Filter exclude utah from results,Chris,"26 Apr, 2021",20 Oct,4,Open,33
223,200161,Filter language,Paige,"27 Jul, 2021",26 Aug,15,Closed,32
224,192803,Friends only section,Adam fox,"19 Jun, 2021",17 Oct,14,Open,32
225,202492,Make the about me section a required field,Moses Lotulelei,"10 Aug, 2021",13 Oct,4,Open,32
226,183909,Show new people by most compatible first,Laura,"07 May, 2021",20 Aug,3,Open,31
227,190702,Display if willing to relocate on profile,mark Osborn,"11 Jun, 2021",10 Oct,7,Closed,30
228,192616,Add a blind dating feature for people who dont want looks to influence if they m,Chad,"19 Jun, 2021",13 Oct,7,Open,29
229,175614,Downvote option on the feedback site,Jared,"31 Mar, 2021",21 Sep,6,Closed,28
230,189478,Get rid of spamfraudulent users,Chele,"07 Jun, 2021",14 Oct,13,Open,27
231,170258,Web browser support,Q,"16 Mar, 2021",13 Oct,10,Open,26
232,164931,Filter favorite school,Moses,"01 Mar, 2021",13 Oct,24,Open,25
233,179087,Add more then 2 letters for the state or country better geographic clarity pleas,James McLean,"14 Apr, 2021",17 Sep,1,Open,24
234,181384,Photo age,Joseph Smith,"23 Apr, 2021",01 Sep,2,Open,23
235,173851,Limit total number of matches based on your responsiveness with existing matches,Josh,"26 Mar, 2021",15 Oct,0,Closed,21
236,307193,Lower subscription price,Bay,11 Jun,20 Sep,1,Closed,20
237,194118,Add education level,Holly,"26 Jun, 2021",01 Sep,4,Open,19
238,165226,Facebook mutual friends,Ashlee,"02 Mar, 2021",07 Jul,3,Closed,19
239,172209,Home screen should be messaging,Dan,"21 Mar, 2021",21 Sep,1,Open,19
240,173621,Automatically translate messages,Giovanna,"25 Mar, 2021",07 Jul,10,Closed,18
241,199535,Fix photo sizing,Kyra,"26 Jul, 2021",21 Sep,8,Open,18
242,186715,Allow those who you have liked to see you liked them,Anonymous,"21 May, 2021",02 Oct,2,Open,18
243,164972,World wide distance,Cole,"02 Mar, 2021",14 Sep,2,Open,18
244,175897,Publish dating market statistics for an area,Trent,"02 Apr, 2021",29 Aug,0,Open,18
245,188769,Filter returned missionary,Matthew S. Mahoney,"03 Jun, 2021",19 Aug,12,Open,17
246,192610,Add a section asking about covid vaccination status,Chad,"19 Jun, 2021",13 Oct,6,Open,17
247,165321,Minimum character count in bio,Qaseem Maajid-Bey,"02 Mar, 2021",11 Sep,2,Closed,17
248,194685,See at least 1 person per week,Micah Conover,"29 Jun, 2021",10 Oct,0,Closed,17
249,179930,Timedate stamp on messages,Howie,"18 Apr, 2021",yesterday,1,Open,16
250,164969,Scroll bar,Cole,"02 Mar, 2021",02 Aug,1,Open,16
251,192772,Be able to set your location to your home city while traveling,Jacob Coleman,"19 Jun, 2021",01 Sep,0,Closed,16
252,173770,Party room,Braeden,"25 Mar, 2021",14 Jul,0,Open,16
253,198341,Filter gym activity,Shelby,"17 Jul, 2021",02 Oct,2,Open,15
254,201410,Rollover notes,Barry,"03 Aug, 2021",26 Aug,1,Open,15
255,186181,Optional profile feedback,Jeremy,"18 May, 2021",21 Aug,7,Open,14
256,189906,Make the distance slider better,Ryan,"08 Jun, 2021",14 Oct,5,Open,14
257,266157,The new about me section is too short,Liz,"27 Dec, 2021",14 Oct,4,Open,14
258,200613,No dead animals,Kelsi,"28 Jul, 2021",23 Sep,4,Open,14
259,217248,Unmatch feedback,R,"22 Sep, 2021",14 Oct,3,Open,14
260,282931,Family tree app linked to this,Hailey,26 Feb,03 Aug,2,Open,14
261,200637,Give stats on your profile percentageswhats successful,Todd,"29 Jul, 2021",20 Aug,2,Open,14
262,188116,Get rid of say hi,J,"31 May, 2021",10 Oct,1,Open,14
263,173521,Questionnaire,Jared,"25 Mar, 2021",09 Aug,1,Closed,14
264,202149,React to messages sent,Kristina Cannon,"09 Aug, 2021",09 Aug,0,Open,14
265,176239,Pause profile,Amanda,"04 Apr, 2021",18 Oct,0,Closed,14
266,194293,Require member record number,Rachel,"28 Jun, 2021",13 Oct,8,Closed,13
267,189884,Verified profiles filter for them,Jeramy,"08 Jun, 2021",13 Oct,7,Open,13
268,194489,Filter modesty,Mitch,"29 Jun, 2021",10 Oct,5,Closed,13
269,281412,Force users to complete verification,Michael,20 Feb,24 Sep,3,Open,13
270,186677,Date ideas,Nathaniel Sparks,"20 May, 2021",01 Sep,3,Open,13
271,202557,Message preview in notification,Sterling,"10 Aug, 2021",20 Aug,2,Open,13
272,211694,Reset all downswipes from people who like you,Tyler Alley,"05 Sep, 2021",01 Sep,1,Open,13
273,175898,Option for more detailed profile info,Trent,"02 Apr, 2021",09 Aug,1,Open,13
