,Country,Name,POS,AGE,HT,WT,Country_logo,BMI
163,Costa rica,Ronald Matarrita,Defender,28,172.72,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,23.4
164,Costa rica,Bryan Oviedo,Defender,32,170.18,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,24.1
165,Costa rica,Juan Pablo Vargas,Defender,27,190.5,88.0,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,24.2
166,Costa rica,Kendall Waston,Defender,34,195.58,86.6,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,22.6
167,Costa rica,Brandon Aguilera,Midfielder,19,177.8,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,21.4
168,Costa rica,Jewison Bennette,Midfielder,18,172.72,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,22.7
169,Costa rica,Celso Borges,Midfielder,34,180.34,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,24.3
170,Costa rica,Daniel Chacon,Midfielder,21,182.88,68.9,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,20.6
173,Costa rica,Bryan Ruiz,Midfielder,37,185.42000000000002,79.8,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,23.2
175,Costa rica,Yeltsin Tejeda,Midfielder,30,177.8,66.7,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,21.1
176,Costa rica,Gerson Torres,Midfielder,25,175.26,62.6,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,20.4
177,Costa rica,Roan Wilson,Midfielder,20,182.88,59.0,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,17.6
179,Costa rica,Joel Campbell,Forward,30,177.8,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,24.5
180,Costa rica,Anthony Contreras,Forward,22,177.8,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,22.7
181,Costa rica,Johan Venegas,Forward,34,182.88,75.7,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,22.6
182,Croatia,Ivo Grbic,Goalkeeper,26,193.04,82.5,https://b.fssta.com/uploads/application/countries/flag-logos/191.vresize.350.350.medium.0.png,22.1
