Country,Name,POS,AGE,HT,WT
Ghana,Mohammed Kudus,Midfielder,22,172.72,69.8
Ghana,Daniel-Kofi Kyereh,Midfielder,26,177.8,72.6
Ghana,Elisha Owusu,Midfielder,25,180.34,61.7
Ghana,Thomas Partey,Midfielder,29,182.88,76.6
Ghana,Kamal Sowah,Midfielder,22,177.8,65.8
Ghana,Kamal-Deen Sulemana,Midfielder,20,172.72,66.7
Ghana,Andre Morgan Rami Ayew,Forward,32,172.72,71.7
Ghana,Jordan Ayew,Forward,31,180.34,79.8
Ghana,Antoine Semenyo,Forward,22,170.18,69.8
Ghana,Inaki Williams,Forward,28,185.42000000000002,78.9
Iran,Amir Abedzadeh,Goalkeeper,29,185.42000000000002,79.8
Iran,Alireza Beiranvand,Goalkeeper,30,193.04,84.8
Iran,Seyed Hossein Hosseini,Goalkeeper,30,185.42000000000002,79.8
Iran,Payam Niazmand,Goalkeeper,27,193.04,81.6
Iran,Roozbeh Cheshmi,Defender,29,193.04,79.8
Iran,Ehsan Hajsafi,Defender,32,177.8,74.8
Iran,Majid Hosseini,Defender,26,185.42000000000002,77.6
Iran,Abolfazl Jalali,Defender,24,175.26,70.7
Iran,Hosssin Kanani,Defender,28,187.96,78.9
Iran,Shojae Khalilzadeh,Defender,33,177.8,83.9
Iran,Milad Mohammadi,Defender,29,177.8,68.9
Iran,Sadegh Moharrami,Defender,26,172.72,70.7
Iran,Morteza Pouraliganji,Defender,30,182.88,79.8
Iran,Ramin Rezaeian,Defender,32,182.88,74.8
Iran,Vahid Amiri,Midfielder,34,177.8,70.7
Iran,Saeid Ezatollahi,Midfielder,26,187.96,81.6
Iran,Saman Ghoddos,Midfielder,29,172.72,74.8
Iran,Ali Gholizadeh,Midfielder,26,175.26,71.7
Iran,Alireza Jahanbakhsh,Midfielder,29,180.34,76.6
Iran,Ali Karimi,Midfielder,28,182.88,80.7
Iran,Ahmad Nourollahi,Midfielder,29,182.88,64.9
Iran,Mehdi Torabi,Midfielder,28,177.8,70.7
Iran,Karim Ansarifard,Forward,32,185.42000000000002,79.8
Iran,Sardar Azmoun,Forward,27,185.42000000000002,81.6
Iran,Mehdi Taremi,Forward,30,185.42000000000002,79.8
Japan,Shuichi Gonda,Goalkeeper,33,185.42000000000002,83.9
Japan,Eiji Kawashima,Goalkeeper,39,182.88,81.6
Japan,Daniel Schmidt,Goalkeeper,30,195.58,88.0
Japan,Ko Itakura,Defender,25,185.42000000000002,74.8
Japan,Hiroki Ito,Defender,23,187.96,83.9
Japan,Yuto Nagatomo,Defender,36,167.64000000000001,67.6
Japan,Hiroki Sakai,Defender,32,182.88,77.6
Japan,Shogo Taniguchi,Defender,31,182.88,74.8
Japan,Takehiro Tomiyasu,Defender,24,185.42000000000002,83.9
Japan,Miki Yamane,Defender,28,177.8,71.7
Japan,Maya Yoshida,Defender,34,187.96,86.6
Japan,Ritsu Doan,Midfielder,24,170.18,69.8
Japan,Wataru Endo,Midfielder,29,177.8,75.7
Japan,Junya Ito,Midfielder,29,175.26,65.8
Japan,Daichi Kamada,Midfielder,26,177.8,71.7
Japan,Takumi Minamino,Midfielder,27,172.72,67.6
Japan,Kaoru Mitoma,Midfielder,25,177.8,72.6
Japan,Hidemasa Morita,Midfielder,27,175.26,73.9
Japan,Gaku Shibasaki,Midfielder,30,172.72,63.9
Japan,Yuki Soma,Midfielder,25,165.1,67.6
Japan,Take,Midfielder,21,172.72,66.7
Japan,Ao Tanaka,Midfielder,24,177.8,74.8
Japan,Takuma Asano,Forward,28,172.72,70.7
Japan,Shuto Machino,Forward,23,182.88,76.6
Japan,Daizen Maeda,Forward,25,172.72,66.7
Japan,Ayase Ueda,Forward,24,180.34,75.7
Mexico,Rodolfo Cota,Goalkeeper,35,187.96,84.8
Mexico,Guillermo Ochoa,Goalkeeper,37,182.88,75.7
Mexico,Alfredo Talavera,Goalkeeper,40,187.96,81.6
Mexico,Edson Alvarez,Defender,25,177.8,71.7
Mexico,Kevin Alvarez,Defender,23,175.26,62.6
Mexico,Nestor Araujo,Defender,31,185.42000000000002,86.6
Mexico,Gerardo Arteaga,Defender,24,172.72,60.8
Mexico,Jesus Gallardo,Defender,28,172.72,72.6
Mexico,Cesar Montes,Defender,25,190.5,69.8
Mexico,Hector Moreno,Defender,34,180.34,79.8
Mexico,Jorge Sanchez,Defender,24,167.64000000000001,70.7
Mexico,Johan Vasquez,Defender,24,180.34,71.7
Mexico,Luis Chavez,Midfielder,26,177.8,72.6
Mexico,Andres Guardado,Midfielder,36,165.1,59.9
Mexico,Erick Gutierrez,Midfielder,27,175.26,69.8
Mexico,Hector Herrera,Midfielder,32,177.8,79.8
Mexico,Carlos Rodriguez,Midfielder,25,167.64000000000001,65.8
Mexico,Luis Romo,Midfielder,27,182.88,83.9
Mexico,Roberto Alvarado,Forward,24,175.26,69.8
Mexico,Uriel Antuna,Forward,25,165.1,60.8
Mexico,Rogelio Funes Mori,Forward,31,185.42000000000002,77.6
Mexico,Raul Jimenez,Forward,31,187.96,75.7
Mexico,Hirving Lozano,Forward,27,175.26,65.8
Mexico,Henry Martin,Forward,30,177.8,72.6
Mexico,Orbelin Pineda,Forward,26,167.64000000000001,62.6
Mexico,Alexis Vega,Forward,25,172.72,76.6
Morocco,Bono,Goalkeeper,31,187.96,77.6
Morocco,Munir,Goalkeeper,33,187.96,88.0
Morocco,Ahmed Reda Tagnaouti,Goalkeeper,26,185.42000000000002,69.8
Morocco,Nayef Aguerd,Defender,26,187.96,75.7
Morocco,Yahya Attiat-Allah,Defender,27,175.26,69.8
Morocco,Badr Benoun,Defender,29,187.96,78.9
Morocco,Achraf Dari,Defender,23,187.96,81.6
Morocco,Jawad El Yamiq,Defender,30,190.5,82.5
Morocco,Achraf Hakimi,Defender,24,180.34,72.6
Morocco,Noussair Mazraoui,Defender,25,182.88,64.9
Morocco,Romain Saiss,Defender,32,187.96,83.9
Morocco,Zakaria Aboukhlal,Midfielder,22,177.8,73.9
Morocco,Selim Amallah,Midfielder,26,185.42000000000002,73.9
Morocco,Sofyan Amrabat,Midfielder,26,182.88,69.8
Morocco,Sofiane Boufal,Midfielder,29,167.64000000000001,59.9
Morocco,Ilias Chair,Midfielder,25,162.56,54.9
Morocco,Bilal El Khannouss,Midfielder,18,177.8,69.8
Morocco,Yahya Jabrane,Midfielder,31,182.88,82.5
Morocco,Azzedine Ounahi,Midfielder,22,180.34,61.7
Morocco,Hakim Ziyech,Midfielder,29,180.34,69.8
Morocco,Walid Cheddira,Forward,24,185.42000000000002,79.8
Morocco,Youssef En-Nesyri,Forward,25,187.96,72.6
Morocco,Abdessamad Ezzalzouli,Forward,20,175.26,72.6
Morocco,Abderazak Hamdallah,Forward,31,177.8,79.8
Morocco,Abdelhamid Sabiri,Forward,26,185.42000000000002,79.8
Netherlands,Justin Bijlow,Goalkeeper,24,187.96,72.6
Netherlands,Andries Noppert,Goalkeeper,28,200.66,86.6
Netherlands,Remko Pasveer,Goalkeeper,39,187.96,86.6
Netherlands,Nathan Ake,Defender,27,177.8,74.8
Netherlands,Daley Blind,Defender,32,177.8,71.7
Netherlands,Matthijs De Ligt,Defender,23,185.42000000000002,88.9
Netherlands,Stefan De Vrij,Defender,30,187.96,77.6
Netherlands,Denzel Dumfries,Defender,26,182.88,79.8
